"Lat","Lon","GrowingYear","treatment","Ratoon","MEAN","SD","YieldID","citation_author"
29.4,-82.2,2009,"Irrigated",0,40,NA,"TotalBiomass","Fedenko"
29.4,-82.2,2010,"Irrigated",1,42,NA,"TotalBiomass","Fedenko"
27.4,-81.9,2009,"Irrigated",0,35,NA,"TotalBiomass","Fedenko"
27.4,-81.9,2010,"Irrigated",1,30,NA,"TotalBiomass","Fedenko"
26.7,-80.7,2009,"Irrigated",0,32,NA,"TotalBiomass","Fedenko"
26.7,-80.7,2010,"Irrigated",1,43,NA,"TotalBiomass","Fedenko"
31.4,-83.5,2008,"Rainfed",0,29.4285714285714,2.8784916685157,"TotalBiomass","Knoll"
31.4,-83.5,2009,"Rainfed",1,30.8571428571429,10.3348693174865,"TotalBiomass","Knoll"
31.4,-83.5,2010,"Rainfed",2,25.7142857142857,7.67494377209123,"TotalBiomass","Knoll"
31.4,-83.5,2006,"Rainfed",0,28.3,NA,"TotalBiomass","Knoll"
31.4,-83.5,2007,"Rainfed",1,25.6,NA,"TotalBiomass","Knoll"
31.4,-83.5,2008,"Rainfed",2,21,NA,"TotalBiomass","Knoll"
31.4,-83.5,2009,"Rainfed",3,8.1,NA,"TotalBiomass","Knoll"
32.9,-82.2,2010,"Rainfed",0,48.3333333333333,7.02376916856849,"TotalBiomass","Knoll"
32.9,-82.2,2011,"Rainfed",1,24.3333333333333,2.08166599946613,"TotalBiomass","Knoll"
32.9,-82.2,2012,"Rainfed",2,29.6666666666667,4.04145188432738,"TotalBiomass","Knoll"
32.9,-82.2,2010,"Irrigated",0,52.6666666666667,7.02376916856849,"TotalBiomass","Knoll"
32.9,-82.2,2011,"Irrigated",1,53.3333333333333,4.16333199893227,"TotalBiomass","Knoll"
32.9,-82.2,2012,"Irrigated",2,44.6666666666667,5.5075705472861,"TotalBiomass","Knoll"
26.75,-80.38,2011,"Irrigated",0,55,NA,"Stem","Zhao"
26.75,-80.38,2012,"Irrigated",1,35,NA,"Stem","Zhao"
26.75,-80.38,2013,"Irrigated",2,35,NA,"Stem","Zhao"
26.73,-80.96,2011,"Irrigated",0,68,NA,"Stem","Zhao"
26.73,-80.96,2012,"Irrigated",1,38,NA,"Stem","Zhao"
26.73,-80.96,2013,"Irrigated",2,40,NA,"Stem","Zhao"
10.2,-83.58,2010,"Rainfed",0,57.3571428571429,9.23710862901243,"Stem","Leon"
10.2,-83.58,2011,"Rainfed",1,59.5,14.2922787115712,"Stem","Leon"
